,operatetime,_c1,day,hour,period,day_type,timestamp
154,2022051913,17535,874,13,1,1,1652936400.0
155,2022051912,8650,874,12,1,1,1652932800.0
156,2022051911,27198,874,11,1,1,1652929200.0
157,2022051910,41013,874,10,1,1,1652925600.0
158,2022051909,63124,874,9,1,1,1652922000.0
159,2022051908,66470,874,8,1,1,1652918400.0
160,2022051907,4257,874,7,2,1,1652914800.0
161,2022051906,351,874,6,3,1,1652911200.0
162,2022051905,114,874,5,3,1,1652907600.0
163,2022051904,31,874,4,3,1,1652904000.0
164,2022051903,90,874,3,3,1,1652900400.0
165,2022051902,28,874,2,3,1,1652896800.0
166,2022051901,154,874,1,3,1,1652893200.0
167,2022051900,259,874,0,3,1,1652889600.0
168,2022051823,698,873,23,3,1,1652886000.0
169,2022051822,1442,873,22,2,1,1652882400.0
170,2022051821,2386,873,21,2,1,1652878800.0
171,2022051820,3486,873,20,2,1,1652875200.0
172,2022051819,6323,873,19,2,1,1652871600.0
173,2022051818,13221,873,18,1,1,1652868000.0
174,2022051817,30111,873,17,1,1,1652864400.0
175,2022051816,41567,873,16,1,1,1652860800.0
176,2022051815,47679,873,15,1,1,1652857200.0
177,2022051814,47668,873,14,1,1,1652853600.0
178,2022051813,17850,873,13,1,1,1652850000.0
179,2022051812,8913,873,12,1,1,1652846400.0
180,2022051811,27512,873,11,1,1,1652842800.0
181,2022051810,41424,873,10,1,1,1652839200.0
182,2022051809,63533,873,9,1,1,1652835600.0
183,2022051808,72209,873,8,1,1,1652832000.0
184,2022051807,4406,873,7,2,1,1652828400.0
185,2022051806,318,873,6,3,1,1652824800.0
186,2022051805,109,873,5,3,1,1652821200.0
187,2022051804,32,873,4,3,1,1652817600.0
188,2022051803,67,873,3,3,1,1652814000.0
189,2022051802,43,873,2,3,1,1652810400.0
190,2022051801,140,873,1,3,1,1652806800.0
191,2022051800,254,873,0,3,1,1652803200.0
192,2022051723,733,872,23,3,1,1652799600.0
193,2022051722,1372,872,22,2,1,1652796000.0
194,2022051721,2263,872,21,2,1,1652792400.0
195,2022051720,3565,872,20,2,1,1652788800.0
196,2022051719,6515,872,19,2,1,1652785200.0
197,2022051718,13789,872,18,1,1,1652781600.0
198,2022051717,31099,872,17,1,1,1652778000.0
199,2022051716,40571,872,16,1,1,1652774400.0
200,2022051715,46860,872,15,1,1,1652770800.0
201,2022051714,48303,872,14,1,1,1652767200.0
202,2022051713,17544,872,13,1,1,1652763600.0
203,2022051712,8930,872,12,1,1,1652760000.0
204,2022051711,28299,872,11,1,1,1652756400.0
205,2022051710,43034,872,10,1,1,1652752800.0
206,2022051709,59328,872,9,1,1,1652749200.0
207,2022051708,71600,872,8,1,1,1652745600.0
208,2022051707,4659,872,7,2,1,1652742000.0
209,2022051706,372,872,6,3,1,1652738400.0
210,2022051705,119,872,5,3,1,1652734800.0
211,2022051704,27,872,4,3,1,1652731200.0
212,2022051703,73,872,3,3,1,1652727600.0
213,2022051702,33,872,2,3,1,1652724000.0
214,2022051701,127,872,1,3,1,1652720400.0
215,2022051700,213,872,0,3,1,1652716800.0
216,2022051623,662,871,23,3,1,1652713200.0
217,2022051622,1528,871,22,2,1,1652709600.0
218,2022051621,2588,871,21,2,1,1652706000.0
219,2022051620,3757,871,20,2,1,1652702400.0
220,2022051619,6614,871,19,2,1,1652698800.0
221,2022051618,14069,871,18,1,1,1652695200.0
222,2022051617,29867,871,17,1,1,1652691600.0
223,2022051616,40427,871,16,1,1,1652688000.0
224,2022051615,47696,871,15,1,1,1652684400.0
225,2022051614,48852,871,14,1,1,1652680800.0
226,2022051613,17566,871,13,1,1,1652677200.0
227,2022051612,8957,871,12,1,1,1652673600.0
228,2022051611,29235,871,11,1,1,1652670000.0
229,2022051610,44558,871,10,1,1,1652666400.0
230,2022051609,66689,871,9,1,1,1652662800.0
231,2022051608,71489,871,8,1,1,1652659200.0
232,2022051607,4528,871,7,2,1,1652655600.0
233,2022051606,301,871,6,3,1,1652652000.0
234,2022051605,104,871,5,3,1,1652648400.0
235,2022051604,16,871,4,3,1,1652644800.0
236,2022051603,68,871,3,3,1,1652641200.0
237,2022051602,26,871,2,3,1,1652637600.0
238,2022051601,128,871,1,3,1,1652634000.0
239,2022051600,214,871,0,3,1,1652630400.0
240,2022051523,492,870,23,3,2,1652626800.0
241,2022051522,912,870,22,2,2,1652623200.0
242,2022051521,1384,870,21,2,2,1652619600.0
243,2022051520,1654,870,20,2,2,1652616000.0
244,2022051519,1812,870,19,2,2,1652612400.0
245,2022051518,2379,870,18,1,2,1652608800.0
246,2022051517,3531,870,17,1,2,1652605200.0
247,2022051516,3955,870,16,1,2,1652601600.0
248,2022051515,4139,870,15,1,2,1652598000.0
249,2022051514,3503,870,14,1,2,1652594400.0
250,2022051513,2339,870,13,1,2,1652590800.0
251,2022051512,2355,870,12,1,2,1652587200.0
252,2022051511,3498,870,11,1,2,1652583600.0
253,2022051510,4612,870,10,1,2,1652580000.0
254,2022051509,5337,870,9,1,2,1652576400.0
255,2022051508,3802,870,8,1,2,1652572800.0
256,2022051507,552,870,7,2,2,1652569200.0
257,2022051506,135,870,6,3,2,1652565600.0
258,2022051505,78,870,5,3,2,1652562000.0
259,2022051504,15,870,4,3,2,1652558400.0
260,2022051503,59,870,3,3,2,1652554800.0
261,2022051502,22,870,2,3,2,1652551200.0
262,2022051501,102,870,1,3,2,1652547600.0
263,2022051500,166,870,0,3,2,1652544000.0
264,2022051423,431,869,23,3,2,1652540400.0
265,2022051422,755,869,22,2,2,1652536800.0
266,2022051421,1161,869,21,2,2,1652533200.0
267,2022051420,1381,869,20,2,2,1652529600.0
268,2022051419,1756,869,19,2,2,1652526000.0
269,2022051418,2623,869,18,1,2,1652522400.0
270,2022051417,4269,869,17,1,2,1652518800.0
271,2022051416,5205,869,16,1,2,1652515200.0
272,2022051415,5616,869,15,1,2,1652511600.0
273,2022051414,4898,869,14,1,2,1652508000.0
274,2022051413,3261,869,13,1,2,1652504400.0
275,2022051412,3364,869,12,1,2,1652500800.0
276,2022051411,5922,869,11,1,2,1652497200.0
277,2022051410,8139,869,10,1,2,1652493600.0
278,2022051409,9298,869,9,1,2,1652490000.0
279,2022051408,6895,869,8,1,2,1652486400.0
280,2022051407,967,869,7,2,2,1652482800.0
281,2022051406,159,869,6,3,2,1652479200.0
282,2022051405,87,869,5,3,2,1652475600.0
283,2022051404,11,869,4,3,2,1652472000.0
284,2022051403,61,869,3,3,2,1652468400.0
285,2022051402,29,869,2,3,2,1652464800.0
286,2022051401,128,869,1,3,2,1652461200.0
287,2022051400,184,869,0,3,2,1652457600.0
288,2022051323,601,868,23,3,1,1652454000.0
289,2022051322,1176,868,22,2,1,1652450400.0
290,2022051321,2080,868,21,2,1,1652446800.0
291,2022051320,3335,868,20,2,1,1652443200.0
292,2022051319,6151,868,19,2,1,1652439600.0
293,2022051318,13518,868,18,1,1,1652436000.0
294,2022051317,28942,868,17,1,1,1652432400.0
295,2022051316,38707,868,16,1,1,1652428800.0
296,2022051315,44443,868,15,1,1,1652425200.0
297,2022051314,44904,868,14,1,1,1652421600.0
298,2022051313,16644,868,13,1,1,1652418000.0
299,2022051312,9714,868,12,1,1,1652414400.0
300,2022051311,26927,868,11,1,1,1652410800.0
301,2022051310,40047,868,10,1,1,1652407200.0
302,2022051309,58587,868,9,1,1,1652403600.0
303,2022051308,67221,868,8,1,1,1652400000.0
304,2022051307,3977,868,7,2,1,1652396400.0
305,2022051306,323,868,6,3,1,1652392800.0
306,2022051305,112,868,5,3,1,1652389200.0
307,2022051304,33,868,4,3,1,1652385600.0
308,2022051303,121,868,3,3,1,1652382000.0
309,2022051302,48,868,2,3,1,1652378400.0
310,2022051301,157,868,1,3,1,1652374800.0
311,2022051300,242,868,0,3,1,1652371200.0
312,2022051223,777,867,23,3,1,1652367600.0
313,2022051222,1363,867,22,2,1,1652364000.0
314,2022051221,2280,867,21,2,1,1652360400.0
315,2022051220,3247,867,20,2,1,1652356800.0
316,2022051219,5833,867,19,2,1,1652353200.0
317,2022051218,12395,867,18,1,1,1652349600.0
318,2022051217,29198,867,17,1,1,1652346000.0
319,2022051216,40505,867,16,1,1,1652342400.0
320,2022051215,45271,867,15,1,1,1652338800.0
321,2022051214,46671,867,14,1,1,1652335200.0
322,2022051213,17242,867,13,1,1,1652331600.0
323,2022051212,8991,867,12,1,1,1652328000.0
324,2022051211,26853,867,11,1,1,1652324400.0
325,2022051210,40874,867,10,1,1,1652320800.0
326,2022051209,61991,867,9,1,1,1652317200.0
327,2022051208,70257,867,8,1,1,1652313600.0
328,2022051207,4131,867,7,2,1,1652310000.0
329,2022051206,341,867,6,3,1,1652306400.0
330,2022051205,103,867,5,3,1,1652302800.0
331,2022051204,22,867,4,3,1,1652299200.0
332,2022051203,98,867,3,3,1,1652295600.0
333,2022051202,40,867,2,3,1,1652292000.0
334,2022051201,133,867,1,3,1,1652288400.0
335,2022051200,227,867,0,3,1,1652284800.0
336,2022051123,618,866,23,3,1,1652281200.0
337,2022051122,1220,866,22,2,1,1652277600.0
338,2022051121,2078,866,21,2,1,1652274000.0
339,2022051120,3062,866,20,2,1,1652270400.0
340,2022051119,5511,866,19,2,1,1652266800.0
341,2022051118,12017,866,18,1,1,1652263200.0
342,2022051117,28330,866,17,1,1,1652259600.0
343,2022051116,39608,866,16,1,1,1652256000.0
344,2022051115,45042,866,15,1,1,1652252400.0
345,2022051114,47193,866,14,1,1,1652248800.0
346,2022051113,17237,866,13,1,1,1652245200.0
347,2022051112,8841,866,12,1,1,1652241600.0
348,2022051111,27322,866,11,1,1,1652238000.0
349,2022051110,41479,866,10,1,1,1652234400.0
350,2022051109,61912,866,9,1,1,1652230800.0
351,2022051108,71545,866,8,1,1,1652227200.0
352,2022051107,4223,866,7,2,1,1652223600.0
353,2022051106,288,866,6,3,1,1652220000.0
354,2022051105,82,866,5,3,1,1652216400.0
355,2022051104,29,866,4,3,1,1652212800.0
356,2022051103,21,866,3,3,1,1652209200.0
357,2022051102,61,866,2,3,1,1652205600.0
358,2022051101,140,866,1,3,1,1652202000.0
359,2022051100,227,866,0,3,1,1652198400.0
360,2022051023,666,865,23,3,1,1652194800.0
361,2022051022,1229,865,22,2,1,1652191200.0
362,2022051021,2080,865,21,2,1,1652187600.0
363,2022051020,3309,865,20,2,1,1652184000.0
364,2022051019,5789,865,19,2,1,1652180400.0
365,2022051018,12331,865,18,1,1,1652176800.0
366,2022051017,28750,865,17,1,1,1652173200.0
367,2022051016,39440,865,16,1,1,1652169600.0
368,2022051015,45591,865,15,1,1,1652166000.0
369,2022051014,47432,865,14,1,1,1652162400.0
370,2022051013,18006,865,13,1,1,1652158800.0
371,2022051012,8929,865,12,1,1,1652155200.0
